Accession	Location	Organism	Specimen_Voucher	Isolate	Gcode	Country	Lat_lon	Collection_date	Collected_by	Tech
gbMN701499.1	mitochondrion	Ischnura_genei	MT55_Igen_2018_1		5	Malta:_Gozo_Island,_Il-Fekruna	36.0328_N	11-Feb-2018	Mora_A,_Calleja_E,_Mauchart_P,_Pernecker_B,_Rewicz_T,_Sant_Q,_Csabai_Z	barcode
gbGU711557.1	mitochondrion	Ischnura_sp._BOLD:AAH6880	BIOUG<CAN>:09BBODO-007		5	USA	30.7884_N	24-May-2009	K.Perez,_S.McCubbin,_J.Cossey,_A.Borisenko	barcode
gbKF369538.1	mitochondrion	Rhodischnura_nursei	RMNH.INS.500482		5	India:_Maharashtra	21.217_N	01-Jan-2008	Dijkstra,_K.-D.B.	barcode
gbMW509065.1	mitochondrion	Ischnura_elegans	IeleFin6		5	Finland				
gbHQ986500.1	mitochondrion	Coenagrionidae_sp._BOLD:AAO8233	gvc13586-1L		5	Australia	19.3811_S	09-Jan-2010	G._Cocks	barcode
gbMW509062.1	mitochondrion	Ischnura_elegans	IeleSwe362		5	Sweden				
gbHQ986187.1	mitochondrion	Ischnura_sp._BOLD:AAH6880	BIOUG<CAN>:10BBODA-0084		5	USA	25.9906_N	13-Mar-2010	Biobus_2010	barcode
gbHQ986183.1	mitochondrion	Ischnura_sp._BOLD:AAH6880	BIOUG<CAN>:10BBODA-0080		5	USA	25.9906_N	13-Mar-2010	Biobus_2010	barcode
gbMW139676.1	mitochondrion	Ischnura_saharensis	1E24BAB000-28		5	Romania		2019	Selma_Menabit	
gbMW490214.1	mitochondrion	Ischnura_elegans	GBOL02847		5	Germany:_Bavaria				barcode
gbHQ834803.1	mitochondrion	Ischnura_elegans		3a	5					
gbFJ812817.1	mitochondrion	Ischnura_heterosticta		JSS16844	5					
gbGQ256032.1	mitochondrion	Ischnura_elegans	canIe3d		5					
gbGQ256031.1	mitochondrion	Ischnura_elegans	canIe2d		5					
gbGQ256030.1	mitochondrion	Ischnura_elegans	canIe1d		5					
gbON545812.1	mitochondrion	Ischnura_rufostigma	DM40		5	India	32.0401_N		GAGANDEEP_KAUR_DHILLON	
gbMT516411.1	mitochondrion	Ischnura_nursei	RN		5	India	21.0641_N		GAGANDEEP_KAUR_DHILLON	
gbMG976186.1	mitochondrion	Ischnura_aff._heterosticta_MOH16Odon1	MOH16Odon1	MOH16Odon1	5					
gbMG517560.1	mitochondrion	Ischnura_rufostigma	IR		5			10-Sep-2016		
gbKY127440.1	mitochondrion	Ischnura_elegans		9	5					
gbON679605.1	mitochondrion	Ischnura_nursei	IN		5	India	31.1689_N		GAGANDEEP_KAUR_DHILLON	
gbMH450001.1	mitochondrion	Ischnura_senegalensis		7000	5	Kenya:_Nairobi		Apr-2003	V._Clausnitzer_K.D._Dijkstra	
gbMH450000.1	mitochondrion	Ischnura_senegalensis		6999	5	Yemen:_Socotra_Hadibu		Feb-1999	K._Van_Damme	
gbMG976118.1	mitochondrion	Ischnura_aff._heterosticta_Coen1	Coen1	Coen1_Ex2	5					
gbMG976117.1	mitochondrion	Ischnura_aff._heterosticta_Coen1	Coen1	Coen1_Ex1	5					
gbMW490138.1	mitochondrion	Ischnura_elegans	GBOL02856		5	Germany:_Bavaria				barcode
gbHM901891.1	mitochondrion	Ischnura_elegans	BC_ZSM_AQU_00440		5	Germany	48.72_N	31-Jul-2009	Weihrauch,_F.	barcode
gbHQ986193.1	mitochondrion	Ischnura_sp._BOLD:AAH6880	BIOUG<CAN>:10BBODA-0091		5	USA	25.9906_N	13-Mar-2010	Biobus_2010	barcode
gbGU713114.1	mitochondrion	Coenagrionidae_sp._ECODN260-09	UNB-064-N13-OE		5	Canada	46.267_N	24-Sep-2007	Colin_Curry	barcode
dbjAB758039.1	mitochondrion	Ischnura_senegalensis		ohori09F7	5	Japan:_Fukuoka,_Fukuoka				
dbjAB757953.1	mitochondrion	Ischnura_senegalensis		ikeuchi09M2	5	Japan:_Okayama,_Okayama				
gbGU713115.1	mitochondrion	Coenagrionidae_sp._ECODN245-09	UNB-049-N13-OE		5	Canada	46.267_N	24-Sep-2007	Colin_Curry	barcode
gbMW490456.1	mitochondrion	Ischnura_elegans	GBOL02855		5	Germany:_Bavaria				barcode
gbKM536415.1	mitochondrion	Ischnura_sp._BOLD:AAI2161	08OMSOD-0202		5	Canada:_Manitoba,_Riding_Mountain_NP,_Moon_Lake	50.881_N	13-Jul-2008	BIObus_2008	barcode
dbjAB757995.1	mitochondrion	Ischnura_senegalensis		konan09M5	5	Japan:_Okayama,_Okayama				
dbjAB758094.1	mitochondrion	Ischnura_senegalensis		yonago09M2	5	Japan:_Tottori,_Yonago				
dbjAB758091.1	mitochondrion	Ischnura_senegalensis		urasoe11M7	5	Japan:_Okinawa,_Urasoe				
dbjAB758086.1	mitochondrion	Ischnura_senegalensis		urasoe11M2	5	Japan:_Okinawa,_Urasoe				
dbjAB758073.1	mitochondrion	Ischnura_senegalensis		ozutsumi09M8	5	Japan:_Fukui,_Sakai				
dbjAB758072.1	mitochondrion	Ischnura_senegalensis		ozutsumi09M7	5	Japan:_Fukui,_Sakai				
dbjAB758070.1	mitochondrion	Ischnura_senegalensis		ozutsumi09M5	5	Japan:_Fukui,_Sakai				
dbjAB758057.1	mitochondrion	Ischnura_senegalensis		osato09M8	5	Japan:_Okinawa,_Ishigaki,_Is._Ishigaki				
dbjAB758055.1	mitochondrion	Ischnura_senegalensis		osato09M6	5	Japan:_Okinawa,_Ishigaki,_Is._Ishigaki				
dbjAB758044.1	mitochondrion	Ischnura_senegalensis		okinou11F3	5	Japan:_Okinawa,_Itoman				
dbjAB757975.1	mitochondrion	Ischnura_senegalensis		kaji11M1	5	Japan:_Kagoshima,_Aira				
dbjAB757925.1	mitochondrion	Ischnura_senegalensis		heiwa11M5	5	Japan:_Okinawa,_Itoman				
dbjAB757911.1	mitochondrion	Ischnura_senegalensis		fukudai09M1	5	Japan:_Fukuoka,_Fukuoka				
dbjAB757902.1	mitochondrion	Ischnura_senegalensis		banna11M5	5	Japan:_Okinawa,_Ishigaki,_Is._Ishigaki				
dbjAB757900.1	mitochondrion	Ischnura_senegalensis		banna11M3	5	Japan:_Okinawa,_Ishigaki,_Is._Ishigaki				
dbjAB757885.1	mitochondrion	Ischnura_senegalensis		amami11F4	5	Japan:_Kagoshima,_Yamato,_Is._Amami-Oshima				
gbHQ986205.1	mitochondrion	Ischnura_sp._BOLD:AAA2219	BIOUG<CAN>:10BBODA-0105		5	USA	27.2524_N	21-Mar-2010	Biobus_2010	barcode
gbHQ986204.1	mitochondrion	Ischnura_sp._BOLD:AAA2219	BIOUG<CAN>:10BBODA-0103		5	USA	27.582_N	05-Mar-2010	Biobus_2010	barcode
gbHM901892.1	mitochondrion	Ischnura_elegans	BC_ZSM_AQU_00441		5	Germany	47.895_N	16-Jul-2009	Weihrauch,_F.	barcode
gbHM901865.1	mitochondrion	Ischnura_elegans	BC_ZSM_AQU_00400		5	Germany	48.237_N	18-Jun-2009	Ober,_S._V.	barcode
gbHQ986235.1	mitochondrion	Ischnura_posita	BIOUG<CAN>:10BBODA-0137		5	USA	27.2446_N	18-Mar-2010	Biobus_2010	barcode
gbMT506706.1	mitochondrion	Ischnura_senegalensis	MS		5	India	21.1458_N		GAGANDEEP_KAUR_DHILLON	
gbMH449999.1	mitochondrion	Ischnura_senegalensis		6998	5	Borneo:_Palangka_Raya		May-2006	H.J._Dumont	
gbMF774553.1	mitochondrion	Burmagomphus_sowerbyi		Hubei_9	5					
gbMF358847.1	mitochondrion	Ischnura_senegalensis		Chenzhou.5	5					
gbMF358846.1	mitochondrion	Ischnura_senegalensis		Chenzhou.4	5					
gbMF358823.1	mitochondrion	Ischnura_senegalensis		Zhanjiang.2	5					
gbMF358822.1	mitochondrion	Ischnura_senegalensis		Zhanjiang.1	5					
gbMF358819.1	mitochondrion	Ischnura_senegalensis		Huzhou.6	5					
gbMF358817.1	mitochondrion	Ischnura_senegalensis		Huzhou.4	5					
gbMF358816.1	mitochondrion	Ischnura_senegalensis		Huzhou.3	5					
gbMF358815.1	mitochondrion	Ischnura_senegalensis		Jian.4	5					
gbMF358814.1	mitochondrion	Ischnura_senegalensis		Jian.3	5					
gbMF358811.1	mitochondrion	Ischnura_senegalensis		Guangzhou.2	5					
gbMF358810.1	mitochondrion	Ischnura_senegalensis		Guangzhou.1	5					
gbKT957478.1	mitochondrion	Ischnura_senegalensis		SP24_M	5	Thailand			apisit_thipaksorn	
gbKT957477.1	mitochondrion	Ischnura_senegalensis		RB10_F	5	Thailand			apisit_thipaksorn	
gbKT957476.1	mitochondrion	Ischnura_senegalensis		PT27_F	5	Thailand			apisit_thipaksorn	
gbKT957475.1	mitochondrion	Ischnura_senegalensis		PT26_M	5	Thailand			apisit_thipaksorn	
gbKT957474.1	mitochondrion	Ischnura_senegalensis		LB42_F	5	Thailand			apisit_thipaksorn	
gbKT957473.1	mitochondrion	Ischnura_senegalensis		CS48_F	5	Thailand			apisit_thipaksorn	
gbKT957472.1	mitochondrion	Ischnura_senegalensis		CS47_M	5	Thailand			apisit_thipaksorn	
gbKT957471.1	mitochondrion	Ischnura_senegalensis		CS18_F	5	Thailand			apisit_thipaksorn	
gbKM532563.1	mitochondrion	Ischnura_verticalis	08OMSOD-0190		5	Canada:_Manitoba,_Riding_Mountain_NP,_Moon_Lake	50.881_N	13-Jul-2008	BIObus_2008	barcode
gbKM530329.1	mitochondrion	Ischnura_verticalis	08OMSOD-0040		5	Canada:_Ontario,_Pukaskwa_NP,_Hattie_Cove_Campground	48.589_N	18-Aug-2008	BIObus_2008	barcode
gbON682934.1	mitochondrion	Ischnura_senegalensis	IS		5	India	11.0168_N		GAGANDEEP_KAUR_DHILLON	
dbjAB758002.1	mitochondrion	Ischnura_senegalensis		kyoei11M4	5	Japan:_Mie,_Kuwana				
dbjAB757999.1	mitochondrion	Ischnura_senegalensis		kyoei11M1	5	Japan:_Mie,_Kuwana				
